,date,open,close,high,low,volume,code
309,2017-04-13,233.535,241.145,241.345,233.265,45648.0,600519
310,2017-04-14,242.185,238.205,242.635,237.755,23646.0,600519
311,2017-04-17,233.755,238.545,241.035,231.305,28793.0,600519
312,2017-04-18,237.355,247.405,249.305,237.355,49581.0,600519
313,2017-04-19,245.755,248.495,251.855,245.615,37550.0,600519
314,2017-04-20,248.845,258.065,263.185,248.845,50457.0,600519
315,2017-04-21,257.755,243.285,258.355,242.755,49332.0,600519
316,2017-04-24,243.375,241.305,247.755,231.755,50037.0,600519
317,2017-04-25,247.555,261.645,262.925,247.555,76192.0,600519
318,2017-04-26,261.605,260.715,271.435,255.765,56624.0,600519
319,2017-04-27,258.285,264.195,264.725,253.185,28240.0,600519
320,2017-04-28,264.745,256.235,265.755,252.655,49505.0,600519
321,2017-05-02,254.355,254.835,257.755,251.935,23291.0,600519
322,2017-05-03,253.755,260.365,260.415,253.755,20267.0,600519
323,2017-05-04,257.385,258.755,261.235,257.385,26709.0,600519
324,2017-05-05,258.955,258.945,265.535,257.855,37437.0,600519
325,2017-05-08,258.935,248.235,259.755,247.475,40721.0,600519
326,2017-05-09,247.195,251.515,252.635,240.755,52801.0,600519
327,2017-05-10,251.155,252.845,257.195,249.775,26039.0,600519
328,2017-05-11,251.155,254.915,257.455,249.265,30467.0,600519
329,2017-05-12,256.345,256.225,258.055,252.765,22337.0,600519
330,2017-05-15,255.875,262.305,263.105,255.875,33447.0,600519
331,2017-05-16,262.355,272.875,273.975,261.015,50164.0,600519
332,2017-05-17,271.755,269.355,272.945,267.635,27515.0,600519
333,2017-05-18,267.805,272.295,273.455,267.765,24300.0,600519
334,2017-05-19,272.325,283.575,284.555,272.325,38310.0,600519
335,2017-05-22,281.795,284.535,288.765,278.955,35321.0,600519
336,2017-05-23,285.005,296.955,297.225,285.005,48454.0,600519
337,2017-05-24,295.655,293.075,299.235,288.755,40226.0,600519
338,2017-05-25,291.465,293.355,295.715,290.255,28898.0,600519
339,2017-05-26,293.575,294.675,298.355,290.755,27386.0,600519
340,2017-05-31,292.755,285.695,293.255,282.865,44312.0,600519
341,2017-06-01,285.255,292.035,292.705,283.765,40604.0,600519
342,2017-06-02,292.755,290.065,293.705,288.355,21785.0,600519
343,2017-06-05,290.795,287.165,291.755,285.105,19241.0,600519
344,2017-06-06,287.725,291.575,291.755,286.955,20402.0,600519
345,2017-06-07,291.875,302.125,302.755,291.875,38834.0,600519
346,2017-06-08,304.075,307.065,307.155,301.255,28951.0,600519
347,2017-06-09,306.995,308.495,313.555,305.755,31430.0,600519
348,2017-06-12,309.755,315.635,318.195,307.755,35109.0,600519
349,2017-06-13,315.805,315.795,317.255,309.755,24237.0,600519
350,2017-06-14,315.545,317.145,320.255,313.235,33768.0,600519
351,2017-06-15,317.755,307.055,318.235,306.755,50202.0,600519
352,2017-06-16,304.255,305.385,310.245,304.015,33331.0,600519
353,2017-06-19,304.715,312.925,313.145,304.715,38536.0,600519
354,2017-06-20,315.755,309.055,317.635,308.415,34505.0,600519
355,2017-06-21,312.305,315.465,315.755,308.785,42038.0,600519
356,2017-06-22,315.775,315.505,320.685,313.955,38242.0,600519
357,2017-06-23,315.615,315.485,317.635,311.085,31303.0,600519
358,2017-06-26,315.765,327.435,327.755,314.755,52932.0,600519
359,2017-06-27,325.575,326.855,327.755,323.605,27980.0,600519
360,2017-06-28,326.845,318.055,326.845,315.755,37728.0,600519
361,2017-06-29,319.055,315.765,320.105,312.755,35092.0,600519
362,2017-06-30,314.265,314.605,316.915,310.555,22427.0,600519
363,2017-07-03,316.955,303.125,316.955,300.655,49628.0,600519
364,2017-07-04,301.715,294.675,302.755,291.755,56488.0,600519
365,2017-07-05,295.765,302.885,303.085,295.765,37540.0,600519
366,2017-07-06,300.865,298.735,302.955,293.355,42044.0,600519
367,2017-07-07,300.592,295.512,300.642,290.742,37796.0,600519
368,2017-07-10,296.422,304.012,304.442,292.512,36624.0,600519
369,2017-07-11,304.042,312.672,314.122,303.542,44601.0,600519
370,2017-07-12,315.342,307.012,315.532,304.542,28950.0,600519
371,2017-07-13,304.892,305.702,311.452,303.222,25951.0,600519
372,2017-07-14,305.792,305.952,308.302,302.592,17726.0,600519
373,2017-07-17,306.582,299.612,307.582,295.822,35263.0,600519
374,2017-07-18,301.532,302.092,303.532,297.542,30684.0,600519
375,2017-07-19,303.542,306.402,313.162,302.342,56259.0,600519
376,2017-07-20,305.402,316.012,316.432,305.402,46634.0,600519
377,2017-07-21,316.502,322.742,324.552,313.202,46792.0,600519
378,2017-07-24,324.422,327.342,334.892,324.422,42716.0,600519
379,2017-07-25,331.742,327.502,332.342,325.642,21929.0,600519
380,2017-07-26,327.592,321.172,331.172,316.102,31470.0,600519
381,2017-07-27,321.172,323.412,325.392,320.642,19595.0,600519
382,2017-07-28,320.542,333.462,333.612,317.252,46618.0,600519
383,2017-07-31,333.542,330.762,337.502,330.542,38412.0,600519
384,2017-08-01,330.542,329.782,332.542,326.942,27501.0,600519
385,2017-08-02,329.582,332.382,334.422,328.052,26774.0,600519
386,2017-08-03,333.222,326.762,336.392,325.172,31768.0,600519
387,2017-08-04,326.542,323.182,328.522,322.142,18681.0,600519
388,2017-08-07,322.042,331.102,331.942,320.672,23099.0,600519
389,2017-08-08,331.542,332.122,333.762,329.042,16051.0,600519
390,2017-08-09,334.382,340.392,342.522,331.572,41794.0,600519
391,2017-08-10,340.632,341.172,349.142,338.542,35364.0,600519
392,2017-08-11,338.542,333.602,346.092,333.022,36572.0,600519
393,2017-08-14,334.752,349.372,349.642,334.752,39331.0,600519
394,2017-08-15,349.652,345.512,350.642,344.552,27163.0,600519
395,2017-08-16,347.542,346.032,348.342,342.542,18587.0,600519
